6-7,6-8,7-8,cond
0,0,0,3.00
0,0,0,3.00
0,1,0,3.00
0,0,0,3.00
0,0,0,3.00
0,0,0,3.00
0,1,1,3.00
1,1,1,3.00
0,0,1,3.00
0,0,1,3.00
0,0,0,3.00
0,0,1,3.00
0,0,0,3.00
0,0,0,3.00
0,0,1,3.00
1,0,0,3.00
0,0,1,3.00
0,0,0,3.00
1,1,0,3.00
0,0,0,3.00
0,0,1,3.00
1,0,0,3.00
0,0,0,3.00
0,1,1,3.00
1,0,1,3.00
0,0,0,3.00
0,1,1,3.00
0,0,1,3.00
1,1,1,3.00
0,0,0,3.00
1,0,0,3.00
0,0,1,3.00
0,0,0,3.00
0,0,0,3.00
0,0,0,3.00
1,1,1,3.00
1,1,1,3.00
0,0,1,3.00
1,1,0,3.00
0,1,1,3.00
1,1,1,3.00
0,1,1,3.00
1,0,0,3.00
0,0,1,3.00
0,0,1,3.00
0,0,0,3.00
0,0,0,3.00
1,1,1,3.00
0,0,0,3.00
0,0,0,2.00
1,1,1,2.00
0,0,0,2.00
0,0,1,2.00
1,1,1,2.00
0,0,0,2.00
1,1,0,2.00
0,0,0,2.00
0,0,0,2.00
1,0,0,2.00
1,1,1,2.00
1,0,0,2.00
0,0,0,2.00
0,0,1,2.00
0,1,1,2.00
0,0,1,2.00
0,0,0,2.00
0,0,0,2.00
1,1,1,2.00
0,0,0,2.00
0,0,1,2.00
0,0,0,2.00
0,0,1,2.00
0,0,1,2.00
0,0,0,2.00
0,0,0,2.00
1,0,0,2.00
0,0,1,2.00
0,0,1,2.00
0,0,0,2.00
1,1,1,2.00
0,1,1,2.00
0,0,1,2.00
0,0,0,2.00
0,1,1,2.00
1,0,1,2.00
1,0,0,2.00
0,0,1,2.00
0,0,0,2.00
1,1,1,2.00
0,0,1,2.00
1,1,1,2.00
0,1,1,2.00
0,0,0,2.00
1,1,1,2.00
0,0,0,2.00
1,1,1,2.00
1,1,1,2.00
0,0,0,2.00
1,0,0,1.00
0,0,1,1.00
0,0,0,1.00
0,0,0,1.00
0,0,1,1.00
1,1,0,1.00
0,0,1,1.00
1,1,1,1.00
1,1,1,1.00
0,0,0,1.00
0,0,0,1.00
1,1,0,1.00
1,1,0,1.00
0,0,0,1.00
1,1,0,1.00
0,0,0,1.00
1,0,0,1.00
0,0,1,1.00
0,0,0,1.00
1,0,0,1.00
0,0,1,1.00
0,0,1,1.00
1,1,1,1.00
0,0,1,1.00
1,1,1,1.00
1,1,1,1.00
0,0,0,1.00
1,0,0,1.00
0,0,0,1.00
1,1,1,1.00
0,1,0,1.00
0,1,1,1.00
1,1,1,1.00
0,0,0,1.00
0,0,0,1.00
0,0,1,1.00
0,1,1,1.00
0,1,1,1.00
1,0,1,1.00
0,0,0,1.00
0,1,1,1.00
0,1,0,1.00
0,0,1,1.00
0,0,0,1.00
0,0,0,1.00
1,0,0,1.00
0,0,0,1.00
1,0,1,1.00
0,0,0,1.00
0,0,0,1.00
